Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
MovespeedLP4Desc,progression,skills,,,\n+8% Walking Speed\n+16% Sprinting Speed\n+24% Crouching Speed\n,,,,,,\n歩行速度+8%\nスプリント速度+16%\nスニーク移動速度+24%\n,,,,\n+8% Скорость ходьбы\n+16% Скорость бега\n+24% Скорость в положении приседа\n,,\n+8%行走速度\n+16%冲刺速度\n+24%蹲伏速度\n,\n+8% 行走速度\n+16% 衝刺速度\n+24% 下蹲速度\n
MovespeedLP5Desc,progression,skills,,,\n+10% Walking Speed\n+20% Sprinting Speed\n+30% Crouching Speed\n,,,,,,\n歩行速度+10%\nスプリント速度+20%\nスニーク移動速度+30%\n,,,,\n+10% Скорость ходьбы\n+20% Скорость бега\n+30% Скорость в положении приседа\n,,\n+10%行走速度\n+20%冲刺速度\n+30%蹲伏速度\n,\n+10% 行走速度\n+20% 衝刺速度\n+30% 下蹲速度\n
MovespeedLP1LongDesc,progression,skills,,,Increases walking speed by +2%.\nIncreases sprinting speed by +4%.\nIncreases crouching speed by +6%.,,,,,,歩行速度2%増加。\nスプリント速度4%増加。\nスニーク移動速度6%増加。,,,,Увеличивает скорость ходьбы на +2%.\nУвеличивает скорость бега на +4%.\nУвеличивает скорость в положении приседа на +6%.,,行走速度增加+2%。\n冲刺速度增加+4%。\n蹲伏速度增加+6%。,行走速度增加 +2%。\n衝刺速度增加 +4%。\n下蹲速度增加 +6%。
MovespeedLP2LongDesc,progression,skills,,,Increases walking speed by +4%.\nIncreases sprinting speed by +8%.\nIncreases crouching speed by +12%.,,,,,,歩行速度4%増加。\nスプリント速度8%増加。\nスニーク移動速度12%増加。,,,,Увеличивает скорость ходьбы на +4%.\nУвеличивает скорость бега на +8%.\nУвеличивает скорость в положении приседа на +12%.,,行走速度增加+4%。\n冲刺速度增加+8%。\n蹲伏速度增加+12%。,行走速度增加 +4%。\n衝刺速度增加 +8%。\n下蹲速度增加 +12%。
MovespeedLP3LongDesc,progression,skills,,,Increases walking speed by +6%.\nIncreases sprinting speed by +12%.\nIncreases crouching speed by +18%.,,,,,,歩行速度6%増加。\nスプリント速度12%増加。\nスニーク移動速度18%増加。,,,,Увеличивает скорость ходьбы на +6%.\nУвеличивает скорость бега на +12%.\nУвеличивает скорость в положении приседа на +18%.,,行走速度增加+6%。\n冲刺速度增加+12%。\n蹲伏速度增加+18%。,行走速度增加 +6%。\n衝刺速度增加 +12%。\n下蹲速度增加 +18%。
MovespeedLP4LongDesc,progression,skills,,,Increases walking speed by +8%.\nIncreases sprinting speed by +16%.\nIncreases crouching speed by +24%.,,,,,,歩行速度8%増加。\nスプリント速度16%増加。\nスニーク移動速度24%増加。,,,,Увеличивает скорость ходьбы на +8%.\nУвеличивает скорость бега на +16%.\nУвеличивает скорость в положении приседа на +24%.,,行走速度增加+8%。\n冲刺速度增加+16%。\n蹲伏速度增加+24%。,行走速度增加 +8%。\n衝刺速度增加 +16%。\n下蹲速度增加 +24%。
MovespeedLP5LongDesc,progression,skills,,,Increases walking speed by +10%.\nIncreases sprinting speed by +20%.\nIncreases crouching speed by +30%.,,,,,,歩行速度10%増加。\nスプリント速度20%増加。\nスニーク移動速度30%増加。,,,,Увеличивает скорость ходьбы на +10%.\nУвеличивает скорость бега на +20%.\nУвеличивает скорость в положении приседа на +30%.,,行走速度增加+10%。\n冲刺速度增加+20%。\n蹲伏速度增加+30%。,行走速度增加 +10%。\n衝刺速度增加 +20%。\n下蹲速度增加 +30%。

NoiseMultiplierLPName,progression,perk,,,Graceful,,,,,,優雅,,,,Грация,,优雅,優雅
NoiseMultiplierLPDesc,progression,perk,,,Enhances your attentiveness to reduces noise produced by general movements.\nStack with 'From The Shadows'.,,,,,,一般的な動きから発生するノイズを軽減し、注意力を高める。\n『影に潜む』と重複可能。,,,,Повышает вашу внимательность уменьшая шум производимый движениями.\nЭффект складывается с 'Бесшумная тень'.,,增强注意力以减少一般动作产生的噪音。\n可与‘来自暗影’叠加。,增強注意力以減少一般動作產生的噪音。\n可與「陰影中來」疊加。
NoiseMultiplierLP1Desc,progression,skills,,,\n-2% Action Noise Reduction\n-2% Additional Action Noise Reduction while Crouching\n,,,,,,\n動作音-2%\nしゃがみ中に動作音-2%追加\n,,,,\n-2% Шум от действий снижен\n-2% Дополнительный шум от действий снижен присев\n,,\n-2%动作噪音\n蹲伏时额外-2%动作噪音\n,\n-2% 動作噪音\n下蹲時 -2% 額外動作噪音\n
NoiseMultiplierLP2Desc,progression,skills,,,\n-4% Action Noise Reduction\n-4% Additional Action Noise Reduction while Crouching\n,,,,,,\n動作音-4%\nしゃがみ中に動作音-4%追加\n,,,,\n-4% Шум от действий снижен\n-4% Дополнительный шум от действий снижен присев\n,,\n-4%动作噪音\n蹲伏时额外-4%动作噪音\n,\n-4% 動作噪音\n下蹲時 -4% 額外動作噪音\n
NoiseMultiplierLP3Desc,progression,skills,,,\n-6% Action Noise Reduction\n-6% Additional Action Noise Reduction while Crouching\n,,,,,,\n動作音-6%\nしゃがみ中に動作音-6%追加\n,,,,\n-6% Шум от действий снижен\n-6% Дополнительный шум от действий снижен присев\n,,\n-6%动作噪音\n蹲伏时额外-6%动作噪音\n,\n-6% 動作噪音\n下蹲時 -6% 額外動作噪音\n
NoiseMultiplierLP4Desc,progression,skills,,,\n-8% Action Noise Reduction\n-8% Additional Action Noise Reduction while Crouching\n,,,,,,\n動作音-8%\nしゃがみ中に動作音-8%追加\n,,,,\n-8% Шум от действий снижен\n-8% Дополнительный шум от действий снижен присев\n,,\n-8%动作噪音\n蹲伏时额外-8%动作噪音\n,\n-8% 動作噪音\n下蹲時 -8% 額外動作噪音\n
NoiseMultiplierLP5Desc,progression,skills,,,\n-10% Action Noise Reduction\n-10% Additional Action Noise Reduction while Crouching\n-10% Additional Action Noise Reduction during Nighttime\n,,,,,,\n動作音-10%\nしゃがみ中に動作音-10%追加\n夜間に動作音-10%追加\n,,,,\n-10% Шум от действий снижен\n-10% Дополнительный шум от действий снижен присев\n-10% Дополнительный шум от действий снижен в ночное время\n,,\n-10%动作噪音\n蹲伏时额外-10%动作噪音\n夜晚时额外-10%动作噪音\n,\n-10% 動作噪音\n下蹲時 -10% 額外動作噪音\n夜間時 -10% 額外動作噪音\n
NoiseMultiplierLP1LongDesc,progression,skills,,,Reduces action noise by -2%.\nReduces action noise by an additional -2% while crouching.,,,,,,動作音を2%軽減。\nしゃがんでいる間の動作音を更に2%軽減。,,,,Снижает шум от действий на -2%.\nСнижает шум от действий на -2% в положении приседа.,,动作噪音降低-2%。\n蹲伏时动作噪音额外降低-2%。,動作噪音降低 -2%。\n下蹲時動作噪音額外降低 -2%。
NoiseMultiplierLP2LongDesc,progression,skills,,,Reduces action noise by -4%.\nReduces action noise by an additional -4% while crouching.,,,,,,動作音を4%軽減。\nしゃがんでいる間の動作音を更に4%軽減。,,,,Снижает шум от действий на -4%.\nСнижает шум от действий на -4% в положении приседа.,,动作噪音降低-4%。\n蹲伏时动作噪音额外降低-4%。,動作噪音降低 -4%。\n下蹲時動作噪音額外降低 -4%。
NoiseMultiplierLP3LongDesc,progression,skills,,,Reduces action noise by -6%.\nReduces action noise by an additional -6% while crouching.,,,,,,動作音を6%軽減。\nしゃがんでいる間の動作音を更に6%軽減。,,,,Снижает шум от действий на -6%.\nСнижает шум от действий на -6% в положении приседа.,,动作噪音降低-6%。\n蹲伏时动作噪音额外降低-6%。,動作噪音降低 -6%。\n下蹲時動作噪音額外降低 -6%。
NoiseMultiplierLP4LongDesc,progression,skills,,,Reduces action noise by -8%.\nReduces action noise by an additional -8% while crouching.,,,,,,動作音を8%軽減。\nしゃがんでいる間の動作音を更に8%軽減。,,,,Снижает шум от действий на -8%.\nСнижает шум от действий на -8% в положении приседа.,,动作噪音降低-8%。\n蹲伏时动作噪音额外降低-8%。,動作噪音降低 -8%。\n下蹲時動作噪音額外降低 -8%。
NoiseMultiplierLP5LongDesc,progression,skills,,,Reduces action noise by -10%.\nReduces action noise by an additional -10% while crouching.\nReduces action noise by an additional -10% during nighttime.,,,,,,動作音を10%軽減。\nしゃがんでいる間の動作音を更に10%軽減。\n夜間では動作音を更に10%軽減。,,,,Снижает шум от действий на -10%.\nСнижает шум от действий на -10% в положении приседа.\nСнижает шум от действий на -10% в ночное время.,,动作噪音降低-10%。\n蹲伏时动作噪音额外降低-10%。\n夜晚时动作噪音额外降低-10%。,動作噪音降低 -10%。\n下蹲時動作噪音額外降低 -10%。\n夜間時動作噪音額外降低 -10%。

JumpFallLPName,progression,perk,,,Freerunning,,,,,,フリーランニング,,,,Лёгкость,,城市疾走,飛躍道
JumpFallLPDesc,progression,perk,,,Strengthens your acrobatic skills for greater height safety.\nSafe falling distance without any perk is 5 meters.\nStack with 'Parkour'.,,,,,,アクロバット技術を強化し、高所での安全性を高める。\n安全な落下距離は5mです。\n『パルクール』と重複可能。,,,,Развивает ваши акробатические навыки для большей безопасности на высоте.\nБезопасная высота падения без каких-либо преимуществ составляет 5 метров.\nСовмещается с 'Паркур'.,,增强杂技技巧以提高高空安全。\n没有任何技能的基本安全坠落距离为5米。\n可与‘跑酷’叠加。,增強雜技技巧以提高高度安全性。\n沒有任何技能的基本安全墜落距離是 5 米。\n可與「跑酷」疊加。
JumpFallLP1Desc,progression,skills,,,\n-2% Jumping Stamina Cost\n+1 Meter Safe Falling Distance\n,,,,,,\nジャンプのスタミナコスト-2%\n安全な落下距離+1m\n,,,,\n-2% стоимости выносливости при прыжке\n+1 метр безопасной высоты падения\n,,\n-2%跳跃体力消耗\n+1米安全坠落距离\n,\n-2% 跳躍耐力消耗\n+1 米安全墜落距離\n
JumpFallLP2Desc,progression,skills,,,\n-4% Jumping Stamina Cost\n+2 Meters Safe Falling Distance\n,,,,,,\nジャンプのスタミナコスト-4%\n安全な落下距離+2m\n,,,,\n-4% стоимости выносливости при прыжке\n+2 метров безопасной высоты падения\n,,\n-4%跳跃体力消耗\n+2米安全坠落距离\n,\n-4% 跳躍耐力消耗\n+2 米安全墜落距離\n
JumpFallLP3Desc,progression,skills,,,\n-6% Jumping Stamina Cost\n+3 Meters Safe Falling Distance\n,,,,,,\nジャンプのスタミナコスト-6%\n安全な落下距離+3m\n,,,,\n-6% стоимости выносливости при прыжке\n+3 метров безопасной высоты падения\n,,\n-6%跳跃体力消耗\n+3米安全坠落距离\n,\n-6% 跳躍耐力消耗\n+3 米安全墜落距離\n
JumpFallLP4Desc,progression,skills,,,\n-8% Jumping Stamina Cost\n+4 Meters Safe Falling Distance\n,,,,,,\nジャンプのスタミナコスト-8%\n安全な落下距離+4m\n,,,,\n-8% стоимости выносливости при прыжке\n+4 метров безопасной высоты падения\n,,\n-8%跳跃体力消耗\n+4米安全坠落距离\n,\n-8% 跳躍耐力消耗\n+4 米安全墜落距離\n
JumpFallLP5Desc,progression,skills,,,\n-10% Jumping Stamina Cost\n+5 Meters Safe Falling Distance\n+2 Meters Sprint Jump Height when Outdoors\n,,,,,,\nジャンプのスタミナコスト-10%\n安全な落下距離+5m\n屋外でのスプリント中のジャンプ力+2m\n,,,,\n-10% стоимости выносливости при прыжке\n+5 метров безопасной высоты падения\n+2 метров высоты прыжка на открытом воздухе\n,,\n-10%跳跃体力消耗\n+5米安全坠落距离\n户外冲刺时+2米跳跃高度\n,\n-10% 跳躍耐力消耗\n+5 米安全墜落距離\n戶外衝刺時 +2 米跳躍高度\n
JumpFallLP1LongDesc,progression,skills,,,\nReduces stamina cost of jumping by -2%.\nIncreases safe falling distance by +1 meter.,,,,,,ジャンプのスタミナ消費を2%軽減。\n安全な落下距離を1メートル延長。,,,,Снижает затраты выносливости на прыжки на -2%.\nУвеличивает безопасную высоту падения на +1 метр.,,跳跃体力消耗减少-2%。\n安全坠落距离增加+1米。,跳躍耐力消耗減少 -2%。\n安全墜落距離增加 +1 米。
JumpFallLP2LongDesc,progression,skills,,,\nReduces stamina cost of jumping by -4%.\nIncreases safe falling distance by +2 meters.,,,,,,ジャンプのスタミナ消費を4%軽減。\n安全な落下距離を2メートル延長。,,,,Снижает затраты выносливости на прыжки на -4%.\nУвеличивает безопасную высоту падения на +2 метров.,,跳跃体力消耗减少-4%。\n安全坠落距离增加+2米。,跳躍耐力消耗減少 -4%。\n安全墜落距離增加 +2 米。
JumpFallLP3LongDesc,progression,skills,,,\nReduces stamina cost of jumping by -6%.\nIncreases safe falling distance by +3 meters.,,,,,,ジャンプのスタミナ消費を6%軽減。\n安全な落下距離を3メートル延長。,,,,Снижает затраты выносливости на прыжки на -6%.\nУвеличивает безопасную высоту падения на +3 метров.,,跳跃体力消耗减少-6%。\n安全坠落距离增加+3米。,跳躍耐力消耗減少 -6%。\n安全墜落距離增加 +3 米。
JumpFallLP4LongDesc,progression,skills,,,\nReduces stamina cost of jumping by -8%.\nIncreases safe falling distance by +4 meters.,,,,,,ジャンプのスタミナ消費を8%軽減。\n安全な落下距離を4メートル延長。,,,,Снижает затраты выносливости на прыжки на -8%.\nУвеличивает безопасную высоту падения на +4 метров.,,跳跃体力消耗减少-8%。\n安全坠落距离增加+4米。,跳躍耐力消耗減少 -8%。\n安全墜落距離增加 +4 米。
JumpFallLP5LongDesc,progression,skills,,,\nReduces stamina cost of jumping by -10%.\nIncreases safe falling distance by +5 meters.\nIncreases sprint jump height by +2 meters when outdoors.,,,,,,ジャンプのスタミナ消費を10%軽減。\n安全な落下距離を5メートル延長。\n屋外でのスプリントジャンプの高さが2メートル増加。,,,,Снижает затраты выносливости на прыжки на -10%.\nУвеличивает безопасную высоту падения на +5 метров.\nУвеличивает высоту прыжка на +2 метра на открытом воздухе.,,跳跃体力消耗减少-10%。\n安全坠落距离增加+5米。\n户外冲刺时跳跃的高度增加+2米。,跳躍耐力消耗減少 -10%。\n安全墜落距離增加 +5 米。\n戶外衝刺時跳躍的高度增加 +2 米。

DismemberChanceLPName,progression,perk,,,Precision,,,,,,精度,,,,Точность,,精密度,精準度
DismemberChanceLPDesc,progression,perk,,,Enhances your accuracy to increase chances of dismembering weak spots with any weapon.\nStacks with any five 'Attribute' Perks.,,,,,,命中精度を強化し、あらゆる武器で弱点をバラバラにする確率を高める。\n任意の5つの「特性」パークと重複する。,,,,Повышает точность и шансы поражения слабых мест любым оружием.\nЭффект складывается с любыми пятью перками 'Характеристики'.,,提高准确度以增加使用任何武器肢解弱点的几率。\n可与任意五种‘属性’叠加。,提高準確性以增加使用任何武器肢解弱點的機率。\n可與任五個「屬性」疊加。
DismemberChanceLP1Desc,progression,skills,,,\n+2% Dismember Chance\n+2% Additional Head Dismember Chance\n+2% Additional Dismember Chance to Unaware Target\n,,,,,,\n切断確率+2%\n追加の頭部切断確率+2%\n無警戒の対象へ追加の切断確率+2%\n,,,,\n+2% Шанс расчленения\n+2% Дополнительный шанс расчленения головы\n+2% Дополнительный шанс расчленения для ничего не подозревающей цели\n,,\n+2%肢解几率\n额外+2%头部爆头几率\n对未察觉的目标额外+2%肢解几率\n,\n+2% 斷肢機率\n+2% 額外頭部爆頭機率\n對未察覺的目標 +2% 額外斷肢機率\n
DismemberChanceLP2Desc,progression,skills,,,\n+4% Dismember Chance\n+4% Additional Head Dismember Chance\n+4% Additional Dismember Chance to Unaware Target\n,,,,,,\n切断確率+4%\n追加の頭部切断確率+4%\n無警戒の対象へ追加の切断確率+4%\n,,,,\n+4% Шанс расчленения\n+4% Дополнительный шанс расчленения головы\n+4% Дополнительный шанс расчленения для ничего не подозревающей цели\n,,\n+4%肢解几率\n额外+4%头部爆头几率\n对未察觉的目标额外+4%肢解几率\n,\n+4% 斷肢機率\n+4% 額外頭部爆頭機率\n對未察覺的目標 +4% 額外斷肢機率\n
DismemberChanceLP3Desc,progression,skills,,,\n+6% Dismember Chance\n+6% Additional Head Dismember Chance\n+6% Additional Dismember Chance to Unaware Target\n,,,,,,\n切断確率+6%\n追加の頭部切断確率+6%\n無警戒の対象へ追加の切断確率+6%\n,,,,\n+6% Шанс расчленения\n+6% Дополнительный шанс расчленения головы\n+6% Дополнительный шанс расчленения для ничего не подозревающей цели\n,,\n+6%肢解几率\n额外+6%头部爆头几率\n对未察觉的目标额外+6%肢解几率\n,\n+6% 斷肢機率\n+6% 額外頭部爆頭機率\n對未察覺的目標 +6% 額外斷肢機率\n
DismemberChanceLP4Desc,progression,skills,,,\n+8% Dismember Chance\n+8% Additional Head Dismember Chance\n+8% Additional Dismember Chance to Unaware Target\n,,,,,,\n切断確率+8%\n追加の頭部切断確率+8%\n無警戒の対象へ追加の切断確率+8%\n,,,,\n+8% Шанс расчленения\n+8% Дополнительный шанс расчленения головы\n+8% Дополнительный шанс расчленения для ничего не подозревающей цели\n,,\n+8%肢解几率\n额外+8%头部爆头几率\n对未察觉的目标额外+8%肢解几率\n,\n+8% 斷肢機率\n+8% 額外頭部爆頭機率\n對未察覺的目標 +8% 額外斷肢機率\n
DismemberChanceLP5Desc,progression,skills,,,\n+10% Dismember Chance\n+10% Additional Head Dismember Chance\n+10% Additional Dismember Chance to Unaware Target\n,,,,,,\n切断確率+10%\n追加の頭部切断確率+10%\n無警戒の対象へ追加の切断確率+10%\n,,,,\n+10% Шанс расчленения\n+10% Дополнительный шанс расчленения головы\n+10% Дополнительный шанс расчленения для ничего не подозревающей цели\n,,\n+10%肢解几率\n额外+10%头部爆头几率\n对未察觉的目标额外+10%肢解几率\n,\n+10% 斷肢機率\n+10% 額外頭部爆頭機率\n對未察覺的目標 +10% 額外斷肢機率\n
DismemberChanceLP1LongDesc,progression,skills,,,Increases dismember chance by +2%.\nIncreases head dismember chance by an additional +2%.\nIncreases dismember chance by an additional +2% to unaware targets.,,,,,,部位切断確率が2%増加。\n頭部への切断確率が更に2%増加。\n無警戒の対象へ部位切断確率が更に2%増加。,,,,Увеличивает шанс расчленения на +2%.\nУвеличивает шанс отсечения головы на +2%.\nУвеличивает шанс расчленения на дополнительные +2% для ничего не подозревающих целей.,,肢解几率增加+2%。\n头部爆头几率额外增加+2%。\n对未察觉的目标肢解几率额外增加+2%。,斷肢機率增加 +2%。\n頭部爆頭機率額外增加 +2%。\n對未察覺的目標斷肢機率額外增加 +2%。
DismemberChanceLP2LongDesc,progression,skills,,,Increases dismember chance by +4%.\nIncreases head dismember chance by an additional +4%.\nIncreases dismember chance by an additional +4% to unaware targets.,,,,,,部位切断確率が4%増加。\n頭部への切断確率が更に4%増加。\n無警戒の対象へ部位切断確率が更に4%増加。,,,,Увеличивает шанс расчленения на +4%.\nУвеличивает шанс отсечения головы на +4%.\nУвеличивает шанс расчленения на дополнительные +4% для ничего не подозревающих целей.,,肢解几率增加+4%。\n头部爆头几率额外增加+4%。\n对未察觉的目标肢解几率额外增加+4%。,斷肢機率增加 +4%。\n頭部爆頭機率額外增加 +4%。\n對未察覺的目標斷肢機率額外增加 +4%。
DismemberChanceLP3LongDesc,progression,skills,,,Increases dismember chance by +6%.\nIncreases head dismember chance by an additional +6%.\nIncreases dismember chance by an additional +6% to unaware targets.,,,,,,部位切断確率が6%増加。\n頭部への切断確率が更に6%増加。\n無警戒の対象へ部位切断確率が更に6%増加。,,,,Увеличивает шанс расчленения на +6%.\nУвеличивает шанс отсечения головы на +6%.\nУвеличивает шанс расчленения на дополнительные +6% для ничего не подозревающих целей.,,肢解几率增加+6%。\n头部爆头几率额外增加+6%。\n对未察觉的目标肢解几率额外增加+6%。,斷肢機率增加 +6%。\n頭部爆頭機率額外增加 +6%。\n對未察覺的目標斷肢機率額外增加 +6%。
DismemberChanceLP4LongDesc,progression,skills,,,Increases dismember chance by +8%.\nIncreases head dismember chance by an additional +8%.\nIncreases dismember chance by an additional +8% to unaware targets.,,,,,,部位切断確率が8%増加。\n頭部への切断確率が更に8%増加。\n無警戒の対象へ部位切断確率が更に8%増加。,,,,Увеличивает шанс расчленения на +8%.\nУвеличивает шанс отсечения головы на +8%.\nУвеличивает шанс расчленения на дополнительные +8% для ничего не подозревающих целей.,,肢解几率增加+8%。\n头部爆头几率额外增加+8%。\n对未察觉的目标肢解几率额外增加+8%。,斷肢機率增加 +8%。\n頭部爆頭機率額外增加 +8%。\n對未察覺的目標斷肢機率額外增加 +8%。
DismemberChanceLP5LongDesc,progression,skills,,,Increases dismember chance by +10%.\nIncreases head dismember chance by an additional +10%.\nIncreases dismember chance by an additional +10% to unaware targets.,,,,,,部位切断確率が10%増加。\n頭部への切断確率が更に10%増加。\n無警戒の対象へ部位切断確率が更に10%増加。,,,,Увеличивает шанс расчленения на +10%.\nУвеличивает шанс отсечения головы на дополнительные +10%.\nУвеличивает шанс расчленения на дополнительные +10% для ничего не подозревающих целей.,,肢解几率增加+10%。\n头部爆头几率额外增加+10%。\n对未察觉的目标肢解几率额外增加+10%。,斷肢機率增加 +10%。\n頭部爆頭機率額外增加 +10%。\n對未察覺的目標斷肢機率額外增加 +10%。

SneakDamageLPName,progression,perk,,,Stealthy,,,,,,ステルス,,,,Скрытность,,匿踪,隱秘
SneakDamageLPDesc,progression,perk,,,Enhances your stealth ability to increase sneaking damage dealt by any weapon.\nEffect is double for bows and crossbows.\nEffect is triple for melee weapons.\nStack with 'Hidden Strike'.,,,,,,ステルス能力を強化し、あらゆる武器で与えるスニーキングダメージを増加させる。\n弓とクロスボウの場合、効果は 2 倍になります。\n近接武器の場合、効果は 3 倍になります。\n『奇襲』と重複可能。,,,,Улучшает ваши навыки скрытности и урон наносимый скрытно любым оружием.\nЭффект двойной для луков и арбалетов.\nЭффект тройной для оружия ближнего боя.\nЭффект складывается с 'Удар из засады'.,,增强隐身能力以增加任何武器造成的潜行伤害。\n弓箭和弩的效果是双倍。\n近战武器的效果是三倍。\n可与‘隐蔽之击’叠加。,增強隱身能力以增加任何武器造成的偷襲傷害。\n弓箭和十字弓的效果是雙倍。\n近戰武器的效果是三倍。\n可與「偷襲」疊加。
SneakDamageLP1Desc,progression,skills,,,\n+10% Sneak Damage\n+10% Additional Sneak Damage when Indoors\n+10% Additional Sneak Damage during Nighttime\n,,,,,,\nスニークダメージ+10%\n屋内でスニークダメージ+10%追加\n夜間にスニークダメージ+10%追加\n,,,,\n+10% урона в скрытности\n+10% дополнительного урона в скрытности в помещении\n+10% дополнительного урона в скрытности в ночное время\n,,\n+10%潜行伤害\n室内时额外+10%潜行伤害\n夜晚时额外+10%潜行伤害\n,\n+10% 偷襲傷害\n室內時 +10% 額外偷襲傷害\n夜間時 +10% 額外偷襲傷害\n
SneakDamageLP2Desc,progression,skills,,,\n+20% Sneak Damage\n+20% Additional Sneak Damage when Indoors\n+20% Additional Sneak Damage during Nighttime\n,,,,,,\nスニークダメージ+20%\n屋内でスニークダメージ+20%追加\n夜間にスニークダメージ+20%追加\n,,,,\n+20% урона в скрытности\n+20% дополнительного урона в скрытности в помещении\n+20% дополнительного урона в скрытности в ночное время\n,,\n+20%潜行伤害\n室内时额外+20%潜行伤害\n夜晚时额外+20%潜行伤害\n,\n+20% 偷襲傷害\n室內時 +20% 額外偷襲傷害\n夜間時 +20% 額外偷襲傷害\n
SneakDamageLP3Desc,progression,skills,,,\n+30% Sneak Damage\n+30% Additional Sneak Damage when Indoors\n+30% Additional Sneak Damage during Nighttime\n,,,,,,\nスニークダメージ+30%\n屋内でスニークダメージ+30%追加\n夜間にスニークダメージ+30%追加\n,,,,\n+30% урона в скрытности\n+30% дополнительного урона в скрытности в помещении\n+30% дополнительного урона в скрытности в ночное время\n,,\n+30%潜行伤害\n室内时额外+30%潜行伤害\n夜晚时额外+30%潜行伤害\n,\n+30% 偷襲傷害\n室內時 +30% 額外偷襲傷害\n夜間時 +30% 額外偷襲傷害\n
SneakDamageLP4Desc,progression,skills,,,\n+40% Sneak Damage\n+40% Additional Sneak Damage when Indoors\n+40% Additional Sneak Damage during Nighttime\n,,,,,,\nスニークダメージ+40%\n屋内でスニークダメージ+40%追加\n夜間にスニークダメージ+40%追加\n,,,,\n+40% урона в скрытности\n+40% дополнительного урона в скрытности в помещении\n+40% дополнительного урона в скрытности в ночное время\n,,\n+40%潜行伤害\n室内时额外+40%潜行伤害\n夜晚时额外+40%潜行伤害\n,\n+40% 偷襲傷害\n室內時 +40% 額外偷襲傷害\n夜間時 +40% 額外偷襲傷害\n
SneakDamageLP5Desc,progression,skills,,,\n+50% Sneak Damage\n+50% Additional Sneak Damage when Indoors\n+50% Additional Sneak Damage during Nighttime\n,,,,,,\nスニークダメージ+50%\n屋内でスニークダメージ+50%追加\n夜間にスニークダメージ+50%追加\n,,,,\n+50% урона в скрытности\n+50% дополнительного урона в скрытности в помещении\n+50% дополнительного урона в скрытности в ночное время\n,,\n+50%潜行伤害\n室内时额外+50%潜行伤害\n夜晚时额外+50%潜行伤害\n,\n+50% 偷襲傷害\n室內時 +50% 額外偷襲傷害\n夜間時 +50% 額外偷襲傷害\n
SneakDamageLP1LongDesc,progression,skills,,,Increases sneaking damage by +10%.\nIncreases sneaking damage by an additional +10% when indoors.\nIncreases sneaking damage by an additional +10% during nighttime.,,,,,,スニークダメージが10%増加。\n屋内でスニークダメージが更に10%増加。\n夜間だとスニークダメージが更に10%増加。,,,,Увеличивает урон в скрытности на +10%.\nУвеличивает урон в скрытности на +10% в помещении.\nУвеличивает урон в скрытности на +10% в ночное время.,,潜行伤害增加+10%。\n室内时潜行伤害额外增加+10%。\n夜晚时潜行伤害额外增加+10%。,偷襲傷害增加 +10%。\n室內時偷襲傷害額外增加 +10%。\n夜間時偷襲傷害額外增加 +10%。
SneakDamageLP2LongDesc,progression,skills,,,Increases sneaking damage by +20%.\nIncreases sneaking damage by an additional +20% when indoors.\nIncreases sneaking damage by an additional +20% during nighttime.,,,,,,スニークダメージが20%増加。\n屋内でスニークダメージが更に20%増加。\n夜間だとスニークダメージが更に20%増加。,,,,Увеличивает урон в скрытности на +20%.\nУвеличивает урон в скрытности на +20% в помещении.\nУвеличивает урон в скрытности на +20% в ночное время.,,潜行伤害增加+20%。\n室内时潜行伤害额外增加+20%。\n夜晚时潜行伤害额外增加+20%。,偷襲傷害增加 +20%。\n室內時偷襲傷害額外增加 +20%。\n夜間時偷襲傷害額外增加 +20%。
SneakDamageLP3LongDesc,progression,skills,,,Increases sneaking damage by +30%.\nIncreases sneaking damage by an additional +30% when indoors.\nIncreases sneaking damage by an additional +30% during nighttime.,,,,,,スニークダメージが30%増加。\n屋内でスニークダメージが更に30%増加。\n夜間だとスニークダメージが更に30%増加。,,,,Увеличивает урон в скрытности на +30%.\nУвеличивает урон в скрытности на +30% в помещении.\nУвеличивает урон в скрытности на +30% в ночное время.,,潜行伤害增加+30%。\n室内时潜行伤害额外增加+30%。\n夜晚时潜行伤害额外增加+30%。,偷襲傷害增加 +30%。\n室內時偷襲傷害額外增加 +30%。\n夜間時偷襲傷害額外增加 +30%。
SneakDamageLP4LongDesc,progression,skills,,,Increases sneaking damage by +40%.\nIncreases sneaking damage by an additional +40% when indoors.\nIncreases sneaking damage by an additional +40% during nighttime.,,,,,,スニークダメージが40%増加。\n屋内でスニークダメージが更に40%増加。\n夜間だとスニークダメージが更に40%増加。,,,,Увеличивает урон в скрытности на +40%.\nУвеличивает урон в скрытности на +40% в помещении.\nУвеличивает урон в скрытности на +40% в ночное время.,,潜行伤害增加+40%。\n室内时潜行伤害额外增加+40%。\n夜晚时潜行伤害额外增加+40%。,偷襲傷害增加 +40%。\n室內時偷襲傷害額外增加 +40%。\n夜間時偷襲傷害額外增加 +40%。
